founded_at,funding_rounds,funding_total_usd,milestones,lat,lng,relationships,status
1987,5.0,125371133.0,1.0,43.2220234,-71.7139655,4.0,1
1971,5.0,125371133.0,1.0,24.8614622,67.00993879999999,4.0,1
2007,5.0,125371133.0,1.0,40.7259336,-73.51429209999999,1.0,1
2005,5.0,125371133.0,1.0,37.6624312,-121.8746789,1.0,1
2006,4.0,57735800.0,4.0,40.4167754,-3.7037902,50.0,1
2006,5.0,125371133.0,2.0,40.7127753,-74.0059728,2.0,1
1998,5.0,125371133.0,1.0,44.9537029,-93.0899578,9.0,1
2003,5.0,125371133.0,1.0,42.4792618,-71.1522765,2.0,1
2006,5.0,125371133.0,1.0,52.486243,-1.890401,4.0,1
2001,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2011,5.0,125371133.0,1.0,36.1699412,-115.13982959999998,2.0,1
2011,5.0,125371133.0,2.0,39.0997265,-94.5785667,4.0,2
2011,5.0,125371133.0,1.0,39.576406,-106.7234639,3.0,1
1991,5.0,125371133.0,1.0,32.7766642,-96.7969879,2.0,1
2008,5.0,125371133.0,1.0,40.8712101,-74.73405229999999,1.0,1
2011,5.0,125371133.0,1.0,43.1189978,-124.408448,2.0,1
2007,5.0,125371133.0,1.0,31.762653000000004,34.966931,2.0,2
2002,5.0,125371133.0,1.0,27.3364347,-82.5306527,12.0,1
2011,5.0,125371133.0,1.0,46.8138783,-71.2079809,3.0,1
2008,5.0,125371133.0,1.0,33.7489954,-84.3879824,2.0,1
2002,5.0,125371133.0,1.0,51.0486151,-114.0708459,4.0,1
2000,5.0,125371133.0,1.0,37.678074200000005,-97.2392359,2.0,1
2002,5.0,125371133.0,1.0,42.9633599,-85.6680863,3.0,1
2007,5.0,125371133.0,1.0,39.8868485,-105.762548,3.0,1
2008,5.0,125371133.0,3.0,41.6005448,-93.6091064,1.0,1
2009,5.0,125371133.0,1.0,41.408969,-75.66241219999999,1.0,1
2009,5.0,125371133.0,1.0,51.5073509,-0.1277583,4.0,1
2005,5.0,125371133.0,1.0,54.3520252,18.6466384,1.0,1
2011,5.0,125371133.0,1.0,47.6062095,-122.33207079999998,2.0,1
2004,5.0,125371133.0,1.0,49.4809302,8.4863599,3.0,1
2008,5.0,125371133.0,1.0,37.3382082,-121.88632859999998,4.0,1
2002,5.0,125371133.0,1.0,30.267153000000004,-97.7430608,2.0,1
2007,5.0,125371133.0,1.0,35.6894875,139.69170640000002,2.0,1
1999,5.0,125371133.0,1.0,32.715738,-117.1610838,1.0,1
2010,5.0,125371133.0,2.0,32.7766642,-96.7969879,11.0,1
2009,5.0,125371133.0,1.0,47.6062095,-122.33207079999998,4.0,1
1930,5.0,125371133.0,2.0,24.8614622,67.00993879999999,59.0,2
2000,5.0,125371133.0,1.0,48.863812,2.448451,1.0,1
2008,5.0,125371133.0,1.0,37.2358078,-121.9623751,4.0,1
2007,5.0,125371133.0,1.0,31.2303904,121.4737021,2.0,1
2003,5.0,125371133.0,1.0,35.164633,33.38315,1.0,1
2002,5.0,125371133.0,1.0,12.9715987,77.5945627,2.0,1
2002,5.0,125371133.0,3.0,51.1078852,17.0385376,3.0,1
